Item_ID	Sentence	Partitive	SentenceLength
34184:41	but, uh, i think 0 there ought *-1 to be some rule against it.	no	14
34289:33	i can, i can buy some, uh, today if i wanted *-1 to *?*.	no	15
34467:48	but it was on a higher level, you know, where there were some things that kids didn't understand *t*-1 that adults did *t*-2 *t*-3,	no	25
34581:32	and there were, there were some definite, um, should i say *rnr*-1, tense moments, with him in there.	no	18
34829:125	see, that's the one, that is the honest to god the one reason 0 i don't want *-1 to see the movie *t*-2 is because i love buffalos for some weird reason,	no	34
35054:22	you know, you watch some of the cartoons,	yes	8
35099:36	i sit, i sit and watch some shows,	no	8
35533:49	and, uh, if i consider *-1 going the used car route and save up some money, i shouldn't have too much trouble at all.	no	25
35544:26	and i was picking up, uh, some background noise,	no	9
35642:30	and so she's going *-1 to get some money for that and take some money from the bank and then try *-2 to make as much down payment as possible *-2 to keep the monthly payment low.	no	38
35642:46	and so she's going *-1 to get some money for that and take some money from the bank and then try *-2 to make as much down payment as possible *-2 to keep the monthly payment low.	no	38
35921:146	i mean, i've always felt that people on welfare should be required *-1 to spend at least part of their time, not all the time because that takes away from their opportunity * to look for a job, but at least some of their time * to look for, *-2 to go out and clean up the roads. you know,	yes	61
36032:51	i think, i think 0 there ought *-1 to be some kind of assistance as far as, uh,	no	18
36280:40	i think 0 youngsters ought *-1 to go out and do some public service,	no	14
36325:14	* play golf some,	no	4
36357:14	i do walk some too.	no	5
36387:36	we've, uh, just save the fees and buy some of our own equipment.	yes	14
36566:33	and we were hoping, uh, *-1 to do some camping in the van, um,	no	14
36577:17	um, up here some of the state parks are really nice	yes	11
36578:8	and some of them aren't *?*,	yes	8
36579:6	some of them are pretty rough.	yes	6
36587:8	but some of them are really nice	yes	7
36703:9	just some of them are known	yes	6
36884:36	i mean some, i think 0 some people that *t*-1 had fairly sturdy, um, vehicles or whatever if they had like a winnebago or something and they were farther in away from the water, i think 0 they stayed.	no	39
37194:10	but in some ways i think 0 we are expected *-1 to do it all.	no	15
37233:25	i mean, i've done some of both.	yes	8
37253:74	but, uh, even now, i would, i would like *-1 to not have *-2 to work in some ways.	no	19
37319:46	i, well i see, i think 0 *t*-2 some people wanting *-1 to stay home more and take care of the children.	no	22
37585:99	it seems that what you really need *-1 to do *t*-2 *-3 to win though, is * to have a team that *t*-4 has reasonable talent and has some people that *t*-5 have, have, have real breakthrough years.	no	38
37736:14	'cause i did some teaching part-time	no	6
37766:94	what *t*-1 gets me is 0 i can't believe that congress, uh, or, our state legislature can't come up with, uh, some kind of workable means 0 * to have funds for the school *t*-2.	no	37
37814:65	not if you can read or write, or do, or un-, understand some science.	no	14
38022:14	and i process some ratings and put, do graphics for their television stations, mumblex their clients,	no	16
38030:56	it's basically just data entry and * running, you know, some, some software	no	14
38275:22	i had *-1 to do some of my husband's papers because i had access to one	yes	17
38377:55	and i've got lots of documentation 0 i need *-1 to review *t*-2 and some 0 i need *-3 to revise *t*-4.	no	23
38546:39	but that has a little bit 0 *t*-1 to do with some of the things that i read *t*-2.	yes	19
38557:11	right now some of the things 0 i'm working with *t*-1 are kids that *t*-2 are dealing with sexual abuse,	yes	21
38606:37	i've always wanted *-1 to go back and read some of my literature texts from college um, because i enjoyed some of those stories so much,	yes	27
38606:73	i've always wanted *-1 to go back and read some of my literature texts from college um, because i enjoyed some of those stories so much,	yes	27
38616:30	um, i trying *-1 to think of some of my other favorite books,	yes	13
38757:28	it's a lot about spiritual warfare and some things like that.	no	12
38808:24	i do do some crafts like it mentioned in the thing,	no	11
38813:27	i was trying *-1 to think of some while, while it was, uh, talking about it,	no	16
38863:14	and i did some of that.	yes	6
38884:41	i've, i've, uh, made some small things, cross stitch things.	no	12
38892:19	but i have recently done some cross stitch.	no	8
38901:14	i've done some cross, um, cross stitch,	no	8
38912:34	i was, i was making some little things for christmas,	no	10
38943:28	and i thought i better *t*-1 do some simple things and work up to this because it *exp*-3 was just so difficult * to get it done *-2.	no	28
38956:17	and i've done some of the crewel and the, um something similar to that	yes	15
38990:62	and whenever i go *-1 visit my parents *t*-2, they're always saying, well, * bring some of your tapes.	yes	20
39000:22	and they said, * bring some tapes with you.	no	9
39014:24	in the winter time i usually plant some pansies in there,	no	11
39023:24	i probably should go *-1 buy some.	no	7
39027:44	i guess 0 if i had a house i might enjoy gardening, some.	no	13
39095:57	so. i think 0 it *exp*-1 would be nice * to just go out and pick some tomatoes off the porch.	no	21
39155:39	i'd love *-1 to have, have some animals.	no	9
39372:27	and then i mix up, uh, some cream cheese and a little bit of amaretta wi-, and some cool whip,	no	20
39372:59	and then i mix up, uh, some cream cheese and a little bit of amaretta wi-, and some cool whip,	no	20
39499:32	* mix up a little, uh, mayonnaise with some dijon mustard, and honey until it just,	no	16
39558:60	we might try *-1 to, to, um, to grill some flounder or salmon steaks.	no	14
39592:38	sliced tomatoes and then green pepper strips, just over it, and some red onion slices, and just a little bit of, um, basil, and then a little italian dressing over it.	no	31
39620:16	and you can put some cucumber slices on too.	no	9
39679:13	i stir fried some the other night though.	no	8
39720:28	cause, we have some, some local ones.	no	7
39952:53	they didn't have, they didn't have *-1 to go through some tough games during the year	no	18
40601:76	she gets home visitations by the s-, mumblex i don't know, the state boards, i guess, some of them and then some by the association,	yes	26
40601:91	she gets home visitations by the s-, mumblex i don't know, the state boards, i guess, some of them and then some by the association,	no	26
40661:62	and he just really missed *-1 being able *-2 to be by himself, and having some peace and quiet	no	19
40672:26	we all need that time, just some quiet time 0 *-1 to wind down from the day *t*-2.	no	18
40919:8	and some of those other places i wouldn't have *?*.	yes	12
41356:63	i think 0 there was four or five different people, that *t*-1 would call, you know, some of them, if they didn't have their addresses and all on them,	yes	30
41495:41	it has everybody that you could ever imagine *t*-1, and some 0 you couldn't *?* *t*-2.	no	18
41534:24	i just remember 0 they had some funny stories,	no	9
41541:27	but then usually when you find out some information from like your parents *t*-1, then you can find out from, you know, you can find somebody else that *t*-2 can tell you something else about these,	no	36
41620:12	but, for some reason a mini skirt is, to me a little more unprofessional 0 * to wear *t*-1 to work than jeans	no	23
41643:12	there are some that *t*-1 are really short	no	8
41644:17	and then there are some that *t*-1 may be will come like four inches or five inches above the knee.	no	20
41685:67	well i feel like too, on the job, when, you know, there's men around and some of the managers are men *t*-1, you just, you know, you don't want them looking at your legs necessarily.	yes	37
42099:19	the same thing goes with some of these insanity pleas, you know.	yes	12
42116:7	some of these plea bargains and all this kind of stuff that they do *t*-1, it's just, it just gets out of hand,	yes	24
42150:39	uh, i can't remember what the town was *t*-1, some little area.	no	13
42437:36	but somewhere we've got *-1 to come up with some money * to build, *-2 to build more, you know, and keep these people in them, you know.	no	29
42474:28	because there has got *-1 to be some kind of background check * to see, that the people who *t*-2 are buying a gun are buying it for a useful purpose, you know,	no	33
42591:73	and, i guess i think, 0 the other thing that we ought *-2 to control *t*-1 to some extent is, 0 there should be some law against the types of gu-,	no	31
42591:97	and, i guess i think, 0 the other thing that we ought *-2 to control *t*-1 to some extent is, 0 there should be some law against the types of gu-,	no	31
42592:16	i mean, some of these saturday night specials that these companies put *t*-1 out, that *t*-2 are, pie-, i mean, they're are	yes	23
42615:120	i mean, there are a lot of kids who when they're ten *t*-2 *t*-1 look like they're twelve, or fourteen or, and, and, especially some of the minority children. whether, you know a racist or not,	yes	38
42623:26	and, and if some of them are doing something that they shouldn't be *?* *t*-1 and then they have one of those toy guns in their hands	yes	29
43012:80	it would be an interesting, it *exp*-2 would be even more interesting you, you to be some of these people who *t*-1 are at the other end of the spectrum.	yes	30
43129:43	this lawn could probably stand a couple of loads of dirt, and some saint augustine.	no	15
43373:12	i know some friends who *t*-1 went *-2 to see it.	no	11
43525:44	you wonder how in the world they ever got them to do some of these things *t*-1.	yes	17
43608:12	what are some other ones 0 i've seen *t*-1 lately *t*-2.	no	12
43639:90	i just go *-1 to be entertained *-2 and and not really interested in some of the, like the terminator or some of the schwarzenegger stuff.	yes	26
43781:12	there's some nice stuff *ich*-2 over there 0 * to see *t*-1.	no	13
43804:15	here's *t*-1 some rocks sitting out in the middle of a field.	no	13
43867:9	probably some of them did.	yes	5
43983:29	it's more trim because it has some of the old asbestos shingles, on the back and there's some sort of stone or something in the front	yes	28
43983:65	it's more trim because it has some of the old asbestos shingles, on the back and there's some sort of stone or something in the front	no	28
44002:6	some of the home builders are,	yes	6
44039:33	and we have, we have some more that *t*-1 need *-2 to be done *-3,	no	15
44061:8	and some of still has *-1 to be redone *-2.	yes	10
44088:17	so we still have some of that trim work 0 * to do *t*-1 because we put it off all this time,	yes	22
44479:79	are you willing *-1 to compromise a little and, and pay, pay some, take some of that money out of your pocket and pay for good quality education.	no	28
44674:38	uh, and, and, you know, some people might not believe that	no	11
44690:13	well, for some reason during the night, the door was not quite wide enough for it to get through	no	19
44885:39	and ma-, maybe * let them have some mock, i mean uh, you know elections and stuff and vote for different people in their classes and start *-1 really young.	no	30
44922:19	and people are finally taking some action against it.	no	9
44935:38	i mean, i'm sure 0 you heard about some of ours.	yes	12
45020:14	and you have some success and want *-1 to go on *-2 learning and continue *-2 learning, uh and not wait until they're in high school	no	27
45052:41	and, okay, this, this candidate tells you some things that *t*-1 are going *-2 to happen	no	16
45056:18	and this candidate tells you some things.	no	7
45082:8	now some people object during primaries, *-1 having *-2 to declare a party, whether republican or democrat	no	17
45095:206	and, uh, i do think 0 more needs *-2 to be done *-3 along that line * to help * to, uh, teach the people, uh, uh, everyone, uh, more about what *t*-1 is going on with voting and with nonvoting. so that, uh, we can make, they're making some more intelligent decisions.	no	54
45381:15	i mean, some maybe	no	4
45774:33	now, they've been able *-1 to get some good players and come around	no	14
46121:25	if you get *-1 to watch some of these,	yes	9
46234:17	some, some places do have guard gates that you have *-1 to get through *t*-2, or electronic access gates and things like that.	no	23
46314:8	and some of those people, they don't deserve *-1 to be let *-2 loose.	yes	15
46360:51	sometimes when you lose someone that you really love *t*-1 *t*-2, you do some crazy things	no	16
46428:48	i went to the far east, uh, back in october *-1 to do some training for t i	no	18
46433:11	uh, some of those countries were so safe, 0 it was unreal.	yes	12
46596:16	and especially not in some of these big cities,	yes	9
46839:12	there's some kind of problems.	no	6
46951:17	but supposedly they have some real wood built * in to like the clutch and all this and the steering wheel,	no	21
47133:13	and there's some real nice ones in arkansas.	no	9
47168:41	so, i'd go up somewhere and camp overnight and then do some rafting.	no	14
47212:13	and there's some pretty decent campgrounds although, i don't think 0 raleigh, i don't think 0 the state of north carolina takes,	no	25
47248:54	the, uh, the movie, the doors, has so-, some nice desert scenes,	no	12
47256:34	i mean, it's just almost surreal, in some places.	no	10
47405:61	and i never had *-1 to watch the news not, you know, not like some people hour and a half a day or anything.	no	24
47415:122	speaking of bush, we're going *-1 to get a little off topic but * speaking of bush, they that had a story where he went *-2 to visit some little, uh, elementary school students, and stuff *t*-3.	no	38
47517:18	so he decided that some wealthy man tipped this iranian, mumblex with baseball tickets,	no	14
47579:19	then my father got us some tickets,	no	7
47841:8	and some of the people in our church use birth control	yes	11
47842:8	and some of them don't,	yes	6
48090:11	they need some attention.	no	4
48344:84	most of that's done *-1 with rifles and such. uh, though there's, you know, probably i'm sure 0 *t*-3 some sector that *t*-2 does it with handguns.	no	30
48360:26	but i guess 0 it would be some.	no	8
48518:19	once you get into some of the programs that *t*-1 are out now, you can do so much *ich*-3 with them, that you don't do *t*-2 until you really make yourself use them.	yes	34
48568:12	i know some people who *t*-1 just,	no	7
48615:32	i'm like, i'll get a job some day	no	10
48694:5	some things we can't do *t*-1,	no	7
48924:29	and, but still, for some reason, you know, this, this guy's sentence has not been carried *-1 out, you know,	no	21
49056:12	there are some smaller,	no	4
49540:25	and it had some, some nice features.	no	7
49864:52	uh, they still have some, some, uh, some draft picks, uh, that they got *t*-1,	no	15
49871:19	actually, they picked up some from minnesota.	no	7
49898:45	and every once in a while * gets a chance * to talk to some of the guys	yes	18
50231:57	and, and, and i don't have any doubt that through some back channels that we encouraged it. you know.	no	20
50333:30	and what *t*-2's wrong is right in some cases.	no	10
50366:31	i, i think 0 some of these people that they claim *t*-1 as middle eastern experts don't, don't have a clue sometimes.	yes	24
50452:133	you know, we, we've got folks running around here who *t*-1 get, who *t*-2 get degrees in basket weaving and you know, underwater psychology, or some, some ridiculous stuff like that.	no	32
50686:55	but there are an awful lot of young people who *t*-1 would benefit from, um, some sort of public service, like the conservation corps back in the thirties or, uh, various other things of that sort.	no	36
50704:33	it *exp*-3 would be great * to have some of those organizations like 0 you mentioned *t*-1 that *t*-2 were during the depression or coming out of the depression available for kids.	yes	32
50705:24	and i think 0 there are some available now where they are able *-1 to work *t*-2,	no	17
50717:7	and some people would get military service	no	7
50718:7	and some people would get civilian, uh, service, like * working in hospitals.	no	13
50775:30	and then you have *-1 to pay them some kind of a stipend,	no	13
50845:44	um, well, like i say, i know that there are some type of programs that they have *t*-1 available for a youth, like teenagers to go and do, um, work in the national parks and work in, uh, neighborhoods *-2 to do, um, clean up and that sort of thing.	no	50
51230:48	i mean, the guy's twenty, twenty-five home rums, maybe thirty, eighty some r b i-s.	no	16
51336:82	you know, i kind of wish that they had inter league play, like they do in all the other sports so i could see some of the national league teams here once in a while.	yes	35
51558:12	they had some other expenses that *t*-1 came up	no	9
51578:33	and, um, it had been recommended *-1 by some friends of ours	no	12
51684:29	i mean, he has always got some kind of, cold or something.	no	12
51752:21	and, and some kid goes out and gets the kid	no	10
51879:11	you get some kids in there	no	6
52077:5	some, i guess like,	no	4
52128:61	now, i, i also liked, uh, oh, gone with the wind or some of the classic, like the lawrence of arabia.	yes	21
52288:14	i mean some of them are done *-1 good	yes	9
52640:64	and * having sat on both, uh, uh, criminal *rnr*-1 and a civil *rnr*-1, uh, jury, some of what *t*-2 goes through our courts is a total waste of time.	yes	30
52655:41	i would like *-1 to see some, some kind of reform, or some kind of streamlining so that, if a person is, um, convicted *-2, and sentenced *-2 to, to death, that that automatic appeal which *t*-3 goes in could be more quickly dealt with *-4.	no	46
52655:63	i would like *-1 to see some, some kind of reform, or some kind of streamlining so that, if a person is, um, convicted *-2, and sentenced *-2 to, to death, that that automatic appeal which *t*-3 goes in could be more quickly dealt with *-4.	no	46
52990:22	i know 0 there are some good places 0 * to go *-2 camping *t*-1 along the, uh, the lakes.	no	20
53230:88	i, uh, i left t i in january *-1 hoping *-2 to strike out and find a job where i could make some money *t*-3.	no	25
53395:29	i, sometimes i hear some things on, on the radio.	no	10
53606:11	we got some awful rain, uh, the other morning.	no	9
53610:10	uh, some real massive thunderstorms.	no	5
53614:59	apparently, i, i don't know if it was just the strong winds or some small tornadoes up this way too.	no	21
53618:11	* caused some damage.	no	4
53622:14	we may get some more tonight.	no	6
53634:14	we're getting some flooding.	no	5
53697:15	you've got some kids that *t*-1'll pick up on it in the first three minutes 0 you're talking about it *t*-2,	no	24
53722:5	some are really going *-1 to be heavy into reading.	no	10
53859:39	instead of, there has *-1 to be some sort of discipline,	no	11
53860:24	and there has *-1 to be some sort of punishment. short of * physically isolating the child, and short of * physically hitting the child.	no	25
53921:15	i mean, some kids don't get don't get spanked *-1 at home	no	14
53922:7	and some kids need *-1 to be spanked *-2 at home.	no	11
54010:82	i, i guess 0 mostly as far as, as crafts go, i've done, um, some needlepoint.	no	17
54025:19	just when i get some spare time here and there *t*-1 i'll work on it,	no	16
54082:30	and during the week they go back and do some more.	no	11
54381:12	there are some kurds living in iran.	no	7
54385:32	and maybe if the world could have given them some type of aid.	no	13
54472:148	i keep, you know, um, you know, there's like three movies that i, i keep *-1 telling myself that i should see *t*-2 one of these, you know, some day that i haven't seen *t*-3, you know, that, that *t*-5 are classics, you know.	no	46
54518:41	there's, there is, you know some blood and everything	no	10
54648:44	when you think of what it takes *t*-1 * to make some of those kind of movies *t*-2, you know.	yes	20
54847:12	how about some of the ads,	yes	6
54872:38	so, we're probably going *-1 to like rent those some time and then try *-2 to see godfather part three somewhere.	no	22
55034:11	uh, some of them didn't	yes	6
55084:23	in a way aikman has done some of that.	yes	9
55126:16	boy, they'd some big changes, * speaking of them.	no	10
55165:39	uh, marino makes me just crazy mad sometimes, because of some of the stupid stuff 0 he does *t*-1,	yes	19
55224:111	and my reasons are based *-1 upon not only from what i read *t*-2 in the newspapers, what i see *t*-3 on the newspapers, but up against some of the, fun and exciting things 0 i ran into *t*-4 during my six years as a soldier in the fifth special forces group.	yes	52
55289:86	there's probably five or six, which *t*-1 would be an equivalent of our joint chiefs of staffs, that *t*-2 are in positions over some of these soviet states.	yes	29
55316:28	but on a highly populated area, like some of the soviet cities would be *?*, with the weaponry that *t*-1's attached *-2 on those things, there is no place 0 * to hide *t*-3.	yes	36
55334:34	but, during that same time frame, didn't you get some feeling, that, i mean, they're getting all these weapons and stuff?	no	23
55391:26	and he's had his problems with some of the old guard himself.	yes	13
55897:52	uh, and i find ways 0 *-1 to, to turn some of that back to, to others *t*-2.	yes	18
55924:11	it gave some folks some jobs,	no	6
55924:16	it gave some folks some jobs,	no	6
55925:13	and we got some great public works out of it.	no	10
55938:34	and this would give them a chance *-1 to have some positive self-esteem.	no	13
55952:54	you take pride in that, and, and get some, some positive feedback from those *ich*-2 who *t*-1 benefit, besides yourself.	no	20
56008:41	and i can see, you know, some, some really significant things coming out of it.	no	15
56059:56	and i thought 0 i had seen, when we were traveling around the state *t*-1, some similar signs *ich*-2 up that *t*-3 indicated that certain sections were being policed and cleaned up *-4	no	33
56078:32	and they, they've started some recycling campaigns that *t*-1 a year before that had been turned down *-2 because they said, well, it's not feasible,	no	27
56108:55	but, it *exp*-1 is comforting to me * to see, uh, more concern about some of these things that, that *t*-2 cost us money.	yes	24
56116:70	it *exp*-1's just probably a good thing that the oil's burning and may, may, make some people realize that hey, you know, this stuff runs out.	no	28
56139:87	uh, or we'll suddenly be in the dark and say, oh, my goodness, now we don't have the ability * to go on to some new technology.	no	29
56204:26	and you put a bay leaf and put some, uh, red pepper over it.	no	14
56209:19	or you can just get some, you know, regular red peppers.	no	11
56322:79	and while that's cooking, i take mayonnaise, about a cup of mayonnaise, and a teaspoon of mustard, and some garlic powder,	no	22
56324:16	and i shred up some just regular white cheese.	no	9
56381:43	and, uh, usually i cut those little cherry tomatoes up, and put some color into it, you know,	no	18
56423:26	oh. you ought *-1 to try some crawfish.	no	8
56665:84	um, you don't even have *-1 to go all the way to new orleans, you know, if you want *-2 to really get some good food.	no	27
56692:21	and, uh, i have some friends that *t*-1 live down there.	no	11
56817:32	and no one could make heads or tails out of some of them	yes	13
56850:10	uh, some countries voting is obligatory.	no	6
56905:7	and some people don't vote,	no	6
56910:20	but you're eligible for some sort of fine if you don't vote.	no	14
57078:62	and, uh, he makes a very, uh, passionate, good argument for why you don't want some things decided *-1 by democratic process *t*-2,	no	24
57082:16	if there's some minority that people don't like *t*-1 because of, you know, racial hatred or something like that, the majority can just simply vote again-, vote against them.	no	31
57196:74	i believe 0 at i b m they, they make 0 you wear a blue suit and, uh, some kind of colored shirt and a tie.	no	26
57215:41	and he'll be over there until july first *-1 setting up some kind of computers for them.	no	18
57412:48	it had, uh, leather, leather designs and, um, some other, other little things on it	no	15
57469:14	and that was some time ago,	no	6
57651:111	i'm convinced that, uh, detroit or whoever it is *t*-1 made a major mistake, years ago when they stopped *-2 putting the small v eights in and went to the fours and some of the sixes *t*-3.	yes	38
57659:64	i'm convinced that the small v eight like the, the mustang's original two eighty-nine or some of the chevy two eighty-threes, were good little v eight engines that *t*-1 were not gas guzzlers	yes	35
57863:29	um, * looking back, like maybe some of the things that i know *t*-1 now, i, i'm not sure 0 i do believe 0 it was worth the cost in dollars and lives.	yes	34
57999:88	i-, if they could just cut out all the fat and, and get it lean, and start *-1 addressing some of the other issues, i think 0 *t*-2 we could take care of everything. and quit *-3 taking care of all these other countries all across the world, you know, who *t*-4 just end up *-5 using things against us later on anyway.	yes	63
58112:22	and som-, for some reason those people don't see that.	no	11
58286:70	and america does have a long history of * sort of doing things our own way rather than adopting, you know, some other model.	no	24
58412:16	um, i do some every now and then,	no	8
58705:6	some of the stuff is good,	yes	6
58814:28	ye-, you take some of the batter out and give it to someone else	yes	14
59322:11	and then some of the bigger companies,	yes	7
59429:38	and if he had an automatic weapon could he really be raising some problems.	no	14
59675:12	he had some cocaine and th-, it was accused *-1 of * selling it,	no	14
59733:43	i wonder if a judge didn't have control of that if some of that would change, you know.	yes	19
59814:135	and then we'll have all, we'll have, we will have the money if we would do that * to, to work on your own system because we've got some serious problems here	no	35
60112:20	my brother had asthma and some allergies which i think 0 he's outgrown *t*-1 now,	no	16
60149:37	i could see some *-1 having, maybe some of the tropical fish, that *t*-2 are really, really pretty	no	18
60478:27	and, and that has some opportunities	no	6
60705:37	and maybe i'll wet a fly line this year and do some camping if i don't get laid *-1 off between now and then.	no	26
60738:38	on channel thirteen, uh, they had some, some programs the day before,	no	12
60768:31	but they put out toxic chemicals there just in some of the, um, what they do *t*-1, uh, *-2 to, uh, make their dough and st-, to, clean out the flour and stuff like that,	yes	35
60778:8	and some of the people that *t*-1 work there have told me that when they have inspectors coming *t*-2 they, you know, shut down everything and they clean up their act, but on a normal basis that they're, that they're dumping things, that they're not supposed *-1 to be dumping *t*-2,	yes	54
60864:47	so, i don't see, you know, how they can do some of the te- *t*-1,	yes	16
60986:35	and the, the ground will filter some of it but not all of it.	yes	14
61316:40	we, we were trying *-1 to find some pictures of him recently.	no	12
61530:74	so, uh, we got, we, we put dirt in the hole and then put some chicken wire around it, you know, so that he couldn't get out.	no	28
61624:25	and we named him buddy beaner for some reason.	no	9
61694:30	and also i'm interested in * writing some programs that *t*-1 will kind of like remind me of things like remind me that wednesdays is trash day and the like.	no	31
61878:40	and just recently i've changed my job * to actually do some of the marketing.	yes	16
61968:36	but i've, i've got some opinions on it.	no	10
61995:5	some type of college, uh, volunteer work for teachers, that *t*-1 they are straight out of college	no	17
62026:5	some group paid part of his college income	no	8
62048:41	you know, if, if we had some really major health problem that *t*-1 required a specialist, we could find one	no	20
62145:60	but say, i think 0 bangladesh *ich*-1 would have been a good example or some, some really desperate situation	no	19
62211:96	and maybe rather than * just, require somebody to join like the peace corps for a year maybe like, um, during college, you know, * maybe have some kind of course where they'd be required *-1 to do some kind of community service type work, and help people in that area or people in the united states *t*-2.	no	59
62211:137	and maybe rather than * just, require somebody to join like the peace corps for a year maybe like, um, during college, you know, * maybe have some kind of course where they'd be required *-1 to do some kind of community service type work, and help people in that area or people in the united states *t*-2.	no	59
62215:25	but i wonder if there aren't some sociology courses.	no	10
62280:63	so, we're a little fa-, you know, farther removed from like dallas and some of the areas where they probably have more of the homeless and that type of thing *t*-1.	yes	32
62302:24	so, we'll talk about that some.	no	7
62358:56	well, we bought a computer because my husband needed *-1 to use it * to do some work for a consulting project,	no	22
62424:8	in some ways it has more *-2 to do with the people who *t*-1 sold it.	no	16
62467:51	and they say 0 they can, you know, do something different and change some connectors	no	15
62484:17	so, well, actually some things are pretty good with that because i put it on a gold credit card	no	19
62494:82	but that's one thing 0 *t*-2 to be said *-1 for credit. it, how, it gets you some muscle where you need it *t*-1 *t*-3.	no	26
62544:33	but * to keep her entertained, music and some of these things do help.	yes	14
62548:100	and i thought well, if i had, uh, a nic-, a nice little, um, tape recorder, you know, so that i could put some good music on in there for her every once in a while. and then also so that i can, uh, uh, copy, uh, parts off, i, i do some musicals and things like this and if i can copy sections off that 0 i can use *t*-1 someplace so i figured well this will be good.	no	80
62594:19	do you buy it at some major store?	no	8
62849:29	and then i was having *-1 to work some real late hours *-1 to get caught with my work after i got out of class.	no	25
62853:41	and then i went to colorado springs the next week *-1 to do some training at the t i up there.	no	21
62885:8	and some of them require me to go out of town,	yes	11
62998:35	um, it's a lot more fun than some other things 0 i could do *t*-1, i guess 0 *t*-2.	no	20
63163:19	uh, they have some during, during lunch hour that *t*-1 are shorter,	no	12
63174:15	they even have some late night ones for people that *t*-1 work second shift and things like that.	no	18
63176:14	they even have some, uh, aerobic, uh, water aerobics when the weather gets nice *t*-1 out in the pool.	no	19
63193:46	and i think 0 they're working on *-1 building a jogging track and some other things.	no	17
63260:17	and you give it some sort of a weird metric number like six point two eight seven instead of six millimeter.	no	21
63319:95	i would expect people with any kind of buying power over the age, you know, under the age of thirty or so, to have some idea what it is *t*-1, anyway.	no	31
63382:11	and then some of them are done *-1 in, you know, purely metric.	yes	13
63481:24	now, okay, we run into some problems once,	no	8
63581:7	and some are in kilometers.	no	5
63593:18	and they've got some great big bins there for newspaper, um, plastic, um, i think three bins for glass, white, green, and whatev-, whatever other combination there is *t*-1.	no	30
63596:63	and, and i think 0 they've got a comp-, uh, some kind of container for aluminum.	no	17
63690:51	and i think 0 they're trying *-1 to, to make some changes.	no	13
63740:30	i, i wonder about some of the prod-, products that they don't take *t*-1, like some of the plastics and things that they don't take *t*-2. uh, why, why they couldn't do more recycling with those *t*-3.	yes	40
63740:81	i, i wonder about some of the prod-, products that they don't take *t*-1, like some of the plastics and things that they don't take *t*-2. uh, why, why they couldn't do more recycling with those *t*-3.	yes	40
64077:19	the other day we had some hail, the biggest hail 0 i've ever seen *t*-1 in texas.	no	18
64249:28	but if i were *-1 to live some place else, it certainly meets my standards.	no	15
64345:11	they have some pretty nice weather out there in los angeles.	no	11
64391:18	and they've built some new highways out to that area, and things, lately.	no	14
64749:24	and i hope 0 you get some more calls and make some more calls.	no	14
64749:36	and i hope 0 you get some more calls and make some more calls.	no	14
65044:48	and i hope 0 we, hope 0 we did them some good, uh, on their little computer dealy.	no	18
65143:6	some of those books are real tough 0 * to get into *t*-1,	yes	13
65240:13	does he get some royalties from that, hopefully?	no	8
65456:58	it's, uh, something 0 we're really irritated about *t*-1 around here. or some people are really irritated about *t*-1.	no	21
65698:44	i would like *-1 to be a little more into * investigating some of the other countries in the world and their educational problems. and * to come up with something a little better than what we've got *t*-2.	yes	40
65715:56	but i'm just saying that even the differences, uh, is that, you know, some countries pay for students to go to, through college and etcetera.	no	26
65777:13	so we had some interference,	no	5
65787:148	but, uh, you know, i think, 0 uh, they, maybe they need *-2 to, uh, help *-3 promote that more. give incentives like, uh, if they do bring somebody on, they will pay some of their costs or give tax breaks or whatever it is *t*-1, you know, for them to train people, you know, stuff like that.	yes	58
65796:26	but see, that again would cut some of our budget down for education but build up our education with the people. at people, per, at high school level, which i would like *-1 to see *t*-2. rather than so many kids getting out of school.	yes	45
65921:58	i, uh, i'm trying my best right now *-1 to pay off some of mine.	yes	16
65926:36	and, uh, but still i have some that *t*-1 are, are up to the limit.	no	15
66268:27	what *t*-1's amazing is 0 some of them have been on death row for a number of years.	yes	19
66485:14	you know some people on the case were, were a little hesitant on * convicting him on some of the charges	no	21
66485:70	you know some people on the case were, were a little hesitant on * convicting him on some of the charges	yes	21
66542:24	there are some, some other crimes that i think, uh, you know, uh,	no	13
66548:15	but, um, some of these people are just out and out brutal.	yes	12
66801:49	and some, some of the people, uh, some of the higher dollars lawyers and stuff downtown too, are picking up some of those great big houses,	yes	26
66801:91	and some, some of the people, uh, some of the higher dollars lawyers and stuff downtown too, are picking up some of those great big houses,	yes	26
67032:120	uh, so i've been doing that less, and, and concentrating more on, you know, light biking when i get home on the evening *t*-1 and then, you know, some more on the weekends.	no	34
67105:22	they want *-1 to put some equipment on their bike and go for a tour.	no	15
67419:50	and the dog was being house sit *-1, or dog sit *-1, whatever, by some friends of mine down the street,	no	21
67588:39	well the puppy jumped in the, into some of the pools but not into the,	yes	15
67788:18	you know for quite some time, just about every one of the states had given up the death penalty.	no	19
67910:51	but they, they did it because they have a warped mind for some reason.	no	14
68296:20	but, if there are some people who *t*-1 don't agree uh, then there must be, it seems *-2 to be 0 there must be at least a reasonable doubt for some people.	no	33
68296:115	but, if there are some people who *t*-1 don't agree uh, then there must be, it seems *-2 to be 0 there must be at least a reasonable doubt for some people.	no	33
68395:46	i, i have, i have some friends who *t*-1 do expert wis-, witness testimony	no	14
